Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
regulation of ubiquitin protein ligase activity (GO:1904666),UBE2C/PLK1/USP44/RPL23/RPS7/UBE2E1/CDC20/UBE2S/CDC16/GORASP1/ANAPC4/CDK2/ANAPC5/CDK1/ANAPC7/ANAPC1/ANAPC2/MAD2L1/MAD2L2/RPL5/RAB1A/ANAPC15/ANAPC16/RPL11/UBE2D1/PTEN/ANAPC10/ANAPC11/CDC14B/CDC23/FZR1/CCNB1/CDC26/CDC27/GOLGA2/FBXO5,GORASP1/CDK2/CDK1/RAB1A/GOLGA2,NA,5,5/374,0.000286796214304885,1
ESCRT complex disassembly (GO:1904896),VPS4A/IST1/VTA1/VPS4B/CHMP1B/CHMP1A/CHMP2B/CHMP2A/CHMP7/CHMP5,CHMP2A,NA,1,1/374,0.026057258962688,1
detection of light stimulus involved in visual perception (GO:0050908),GRM6/REEP6/CACNA2D4/GNAT1/GNAT2/TULP1/RPE65/CACNA1F/CNGB1/EYS,REEP6,NA,1,1/374,0.026057258962688,1
heparan sulfate proteoglycan metabolic process (GO:0030201),HS3ST3B1/B3GAT3/GLCE/XYLT2/HS6ST1/SULF2/HS3ST4/SULF1/HS6ST2/HS3ST5/SGSH/HS2ST1/HS6ST3/EXT1/EXT2/NDST3/EXTL3/NDST1/GPC1/HPSE,HS6ST2/HS2ST1,NA,2,2/374,0.0140245656522957,1
aspartate family amino acid catabolic process (GO:0009068),SDS/AASS/AADAT/GOT2/GOT1/PHYKPL/DLST/SDSL/ALDH7A1/HYKK/MAT1A/PIPOX/ASPG/DLD/SLC25A21/ASPA/CRYM/GCDH/OGDH,AASS/SLC25A21,NA,2,2/374,0.0121493327342251,1
regulation of ERAD pathway (GO:1904292),USP25/UBXN1/BRSK2/ATXN3/BAG6/TMEM259/USP13/USP19,USP13,NA,1,1/374,0.0167747462928842,1
mitotic nuclear envelope disassembly (GO:0007077),NEK9/RANBP2/PLK1/NEK6/NUP214/NDC1/VRK1/NUP153/PRKCB/NUP210/NUP133/PRKCA/NUP155/NUP93/NUP50/CTDNEP1/LPIN1/NUP98/NUP54/CNEP1R1/NUP35/CDK1/NUP58/NUPL2/NUP37/POM121/NUP205/NUP107/SEH1L/NUP188/NUP160/AAAS/LMNA/CCNB2/CCNB1/TPR/NUP43/POM121C/NUP85/NUP62/BANF1/EMD/NUP88/RAE1,NEK9/NUP214/NUP210/NUP98/NUP54/CDK1/NUP58/NUP62/NUP88/RAE1,NA,10,10/374,1.04210092410815e-08,5.3178410157239e-05
positive regulation of sodium ion transmembrane transporter activity (GO:2000651),ACTN4/CHORDC1/WNK2/WNK3/TESC/ANK3/DMD/GLRX/ATP1B1/DRD4/SLC9A1,ATP1B1,NA,1,1/374,0.0313121388414287,1
mRNA export from nucleus (GO:0006406),CPSF2/CPSF1/CPSF4/NUP214/CPSF3/ALYREF/UPF3B/NUP210/SRRM1/NUP93/DDX39A/DDX39B/NUP98/SARNP/ZC3H11A/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/CHTOP/SRSF9/NUP205/SRSF1/SRSF2/CASC3/NUP160/MAGOH/NXF1/NXF2/NXF3/NUP85/PABPN1/DHX38/IGFLR1/NUP88/RAE1/NXF5/PCID2/NUP153/NUP155/RNPS1/POM121/AAAS/GLE1/ALKBH5/TPR/RBMX2/POM121C/NUP62/AGFG1/UPF2/UPF1/EIF5A/NCBP2/NCBP1/NDC1/NUP133/WDR33/MAGOHB/DDX19A/DDX19B/NUP50/NUP54/NUP58/BUD13/SLU7/SLBP/ENY2/SEH1L/RBM8A/ZC3H3/NUP43/SYMPK/EIF4E/RANBP2/THOC2/THOC1/THOC3/THOC6/CDC40/THOC5/THOC7/HNRNPA2B1/NUP35/NUPL2/NUP37/FYTTD1/EIF4A3/SMG5/NXT1/NUP107/DDX25/POLDIP3/SMG1/U2AF2/NUP188/U2AF1/SMG6/SMG7/HHEX/FIP1L1/POLR2D/SRSF10/SRSF11,NUP214/NUP210/NUP98/NUP88/RAE1/NUP62/UPF1/NUP54/NUP58/SLU7,NA,10,10/374,8.29090431943896e-05,0.42308484742097
acid secretion (GO:0046717),ABCB4/SLC22A16/SLC51A/GHRL/SLC51B/DRD3/SLC9A3R1/SLC26A6,SLC9A3R1,NA,1,1/374,0.0167747462928842,1
positive regulation of clathrin-dependent endocytosis (GO:2000370),PICALM/TOR1A/DAB2/NLGN1/WASL/SCYL2,TOR1A,NA,1,1/374,0.00929900216569043,1
eye morphogenesis (GO:0048592),AGTPBP1/TENM3/RARG/STAT3/AXIN1/IFT122/SHROOM2/NKD1/VEGFA/EFEMP1/C12ORF57/SKI/NIPBL/COL5A2/MFAP2/COL5A1/ALDH1A3/NF1/FBN1/FBN2,FBN1/FBN2,NA,2,2/374,0.0140245656522957,1
lipoprotein catabolic process (GO:0042159),LYPLA2/LYPLA1/PPT1/NOTUM/APOE/LYPLAL1,PPT1,NA,1,1/374,0.00929900216569043,1
neutrophil activation involved in immune response (GO:0002283),UNC13D/ARMC8/MCEMP1/SCAMP1/FLG2/DYNC1LI1/GALNS/TOLLIP/PSMC2/PSMC3/HSPA1A/GLA/NHLRC3/CDK13/CDA/HSPA1B/PRSS2/CYFIP1/PDXK/C3AR1/FRMPD3/RETN/ASAH1/CRACR2A/PSMD7/PSMD6/PSMD3/ALOX5/PSMD1/STOM/PSMD2/NCSTN/PRSS3/S100A12/S100A11/ELANE/PRKCD/ATP6AP2/NCKAP1L/HRNR/VAMP7/VAMP8/BIN2/TCN1/PADI2/CFD/GMFG/GNS/A1BG/ABCA13/CFP/C3/PRDX4/CYB5R3/PRDX6/PLAC8/NAPRT/HMOX2/LTA4H/ATG7/FUCA1/GSDMD/ANXA2/ANXA3/JUP/FUCA2/NFAM1/AZU1/TMEM173/TMC6/LYZ/C16ORF62/SIGLEC5/SIGLEC9/GPI/PAFAH1B2/SERPINA3/SERPINA1/FPR2/FPR1/LRRC7/IQGAP1/IQGAP2/TIMP2/AP1M1/DYNLL1/SERPINB3/ARG1/AHSG/DGAT1/PGAM1/SERPINB1/ADAM10/LRG1/RNASE3/RNASE2/TUBB4B/SERPINB6/ERP44/FABP5/PSMA5/PSMA2/SLCO4C1/LAMTOR1/PLEKHO2/LAMTOR3/LAMTOR2/SERPINB12/GRN/PIGR/PYGB/PTAFR/SERPINB10/HEXB/GSTP1/PYGL/LPCAT1/PSMB7/PSMB1/METTL7A/AGA/PGLYRP1/OLR1/GSN/IST1/AGL/AOC1/DEFA4/DEFA1/ATP11B/ILF2/ATP11A/TICAM2/CLEC4C/CLEC4D/RAB31/OLFM4/RAB37/S100A7/ARL8A/ADAM8/DSC1/PTPN6/PKP1/S100A9/GHDC/S100A8/FRK/CD177/SLC27A2/ROCK1/EPX/APEH/NRAS/PYCARD/LAMP2/LAMP1/RAB24/KCMF1/RAB4B/TRAPPC1/ATP8B4/ARPC5/KCNAB2/EEF2/C6ORF120/NFKB1/ACLY/DDOST/HPSE/LCN2/NIT2/FTL/RAB5B/RAB3D/RAB3A/ARHGAP9/ATP8A1/BRI3/HVCN1/GPR84/STK10/RAB44/GLIPR1/MMP25/CLEC5A/TXNDC5/TOM1/TMEM179B/GYG1/SLC15A4/ACTR2/HSP90AA1/APAF1/PA2G4/NDUFC2/TNFRSF1B/TMBIM1/DNAJC3/FCGR2A/NPC2/DNAJC5/DSG1/PECAM1/SNAP25/SNAP23/UBR4/FCGR3B/ALAD/PSAP/CEP290/SNAP29/CR1/DSP/RNASET2/CPPED1/PKM/CHIT1/KPNB1/NFASC/PFKL/RAB10/TSPAN14/VAPA/IMPDH1/IMPDH2/P2RX1/RAB14/MNDA/BPI/RAB18/FOLR3/ACPP/ITGB2/CANT1/HSP90AB1/TCIRG1/LRMP/ITGAM/ITGAL/FCAR/TTR/GM2A/ITGAX/ITGAV/PGM2/PGM1/PTPRN2/KRT1/NBEAL2/MAPK14/CRISPLD2/SLPI/TMEM63A/STXBP2/FGL2/STXBP3/PRCP/CALML5/PNP/CPNE1/CPNE3/B2M/ARSA/ARSB/XRCC5/STK11IP/SURF4/SLC11A1/XRCC6/COMMD3/PRG3/PPBP/RAB27A/MIF/PRG2/VAT1/VNN1/CSNK2B/CYSTM1/MGST1/TRPM2/COMMD9/LGALS3/ANPEP/FTH1/CD14/GOLGA7/ATP6V0A1/CTSB/CTSA/RHOA/PTGES2/SIGLEC14/TUBB/RHOF/LILRB2/AMPD3/LILRB3/RHOG/NME2/TLR2/DERA/BST2/CEACAM3/PTPRC/RAP2B/BST1/CEACAM1/RAP2C/CEACAM8/PTPRB/CEACAM6/ALDOC/ACTR10/ALDOA/RAB7A/RAB5C/SLC44A2/HBB/CTSZ/PTPRJ/CTSS/DSN1/ACTR1B/RAP1A/RAP1B/MAGT1/ORMDL3/NEU1/MLEC/QSOX1/CTSH/CTSG/FCER1G/CD36/CTSD/CAMP/CD33/CTSC/RAB6A/CD53/CAP1/CCT2/DBNL/MME/SYK/GAA/CREG1/QPCT/PGRMC1/ANO6/SVIP/APRT/DLC1/RAB9B/CD47/DNASE1L3/DNASE1L1/DYNC1H1/CD44/ORM2/CSTB/CD63/ORM1/GDI2/FAF2/CAB39/AP2A2/LILRA2/LILRA3/CST3/CXCR2/CXCR1/STBD1/RAC1/ENPP4/CD59/CCT8/SPTAN1/CD58/CD55/TBC1D10C/LAIR1/CHRNB4/CD300A/GCA/PDAP1/HUWE1/TYROBP/ATAD3B/OSCAR/EEF1A1/PPIA/DOK3/DEGS1/CD68/YPEL5/PPIE/FCN1/HFE/MPO/ARHGAP45/COTL1/CAPN1/OSTF1/IDH1/MGAM/IGF2R/ATP6V0C/MANBA/CD93/DNAJC13/CYBB/CYBA/SDCBP/CKAP4/DIAPH1/TARM1/SELL/PRTN3/VCL/CRISP3/ATP6V1D/VCP/C5AR1/COPB1/SLC2A3/PSEN1/PLAU/SRP14/SLC2A5/CNN2/ADGRG3/ALDH3B1/SIRPA/ACAA1/HGSNAT/MMP8/HSPA6/GGH/HSPA8/CMTM6/MMP9/ADA2/DNASE1/MAN2B1/MS4A3/DOCK2/CHI3L1/PSMD11/B4GALT1/PSMD13/DDX3X/PSMD12/PSMD14/TNFAIP6/MOSPD2/HMGB1/CXCL1/AGPAT2/PLD1/HK3/SIRPB1/HEBP2/SYNGR1/ADGRE3/DPP7/ADGRE5/TMEM30A/PLAUR/FGR/GLB1/CAT/S100P/PTX3/DYNLT1/LTF/CLEC12A/MVP/CAND1/MAPK1/GUSB,GLA/STOM/CYB5R3/ERP44/SLC27A2/NPC2/RAB10/IMPDH2/RAB14/RAB18/CSNK2B/GOLGA7/CTSB/RHOA/PTGES2/RAB7A/RAB5C/SLC44A2/NEU1/ANO6/AP2A2/PPIA/GGH,NA,23,23/374,0.00171297032328822,1
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),ATF7IP/PAXIP1/ZNF451/GTF2B/SRF/HNF1B/GTF2F2/TAF1/HNF1A/HEY2/SUB1/TAF7/NKX2-5,GTF2F2,NA,1,1/374,0.0429301060251057,1
regulation of histone modification (GO:0031056),SETD5/PARG/MYOCD/AKAP8L/MTHFR/AKAP8/IGF2/PRDM10/ZNHIT1/FLCN/CDK9/ZFP64/ZNF335/UBE2N,AKAP8L/AKAP8,NA,2,2/374,0.0050201913147524,1
low-density lipoprotein receptor particle metabolic process (GO:0032799),MYLIP/AP2B1/CLTC/PPARG/AP2S1/CLTA/PCSK9/AP2A2/AP2A1/VLDLR/AP2M1,AP2A2/AP2M1,NA,2,2/374,0.00241029950835454,1
regulation of fatty acid oxidation (GO:0046320),ACADVL/PPARA/PRKAG2/TYSND1/SIRT4/NR4A3/FABP3/ACADL/LONP2/PDK4/MLYCD/PPARGC1A/PPARGC1B,TYSND1,NA,1,1/374,0.0429301060251057,1
cellular respiration (GO:0045333),SDHB/SDHC/SIRT3/SDHA/NDUFS7/LYRM7/UQCRC2/NDUFS4/MTFR1/NDUFS3/UQCRC1/CYCS/MTFR2/NDUFS1/COX20/FASTKD1/FASTKD2/MT-CO1/FASTKD3/COX4I2/FASTKD5/UQCR10/ETFDH/COX6A2/MT-ND4/TBRG4/MT-ND1/COX6A1/PMPCB/ETFRF1/D2HGDH/ME3/PPARGC1A/NDUFV2/SURF1/MDH2/COQ10B/COQ10A/UQCRHL/NR4A3/ALDH5A1/OXA1L/SDHAF4/MT-CO3/NDUFAF2/SLC25A13/SLC25A14/UQCRB/COX19/MTFR1L/ETFA/ETFB/UQCRH/CHCHD5/BLOC1S1/COX15/COX10,FASTKD5/PMPCB/NDUFAF2/ETFA,NA,4,4/374,0.01556495078188,1
positive regulation of keratinocyte migration (GO:0051549),FGF7/EPB41L4B/FGF10/ADAM9/MMP9/MTOR,ADAM9,NA,1,1/374,0.00929900216569043,1
positive regulation of glucose metabolic process (GO:0010907),GPLD1/PTPN2/SLC45A3/IRS1/IRS2/ACTN3/AKT1/AKT2/PMAIP1/PPARGC1A/ARPP19,AKT1,NA,1,1/374,0.0313121388414287,1
regulation of angiotensin levels in blood (GO:0002002),ENPEP/CPA3/ACE/ATP6AP2/MME/CMA1/CTSZ/ECE1/AGT/ACE2/KCTD11/CTSG,ACE2,NA,1,1/374,0.0369440363050621,1
negative regulation of glycogen metabolic process (GO:0070874),GSK3B/GSK3A/SELENOS/ENPP1/INPP5K/INS/PASK,SELENOS,NA,1,1/374,0.0127977214204242,1
regulation of necroptotic process (GO:0060544),SLC25A4/RIPK3/TRADD/CFLAR/FZD9/YBX3/TANK/CASP8/UBC/UBB/ARHGEF2/RIPK1/UBA52/BIRC2/RPS27A/BIRC3,UBC/RIPK1,NA,2,2/374,0.00743390579863363,1
protein hydroxylation (GO:0018126),EGLN3/VPS33B/P3H3/P3H2/PLOD3/PLOD2/P3H4/P3H1/PLOD1/OGFOD1/HIF1AN/VIPAS39,PLOD2,NA,1,1/374,0.0369440363050621,1
granulocyte activation (GO:0036230),CXCL8/KMT2E/PRKCD/CXCR2/PREX1/CCL5/PRG3/F2RL1/CXCL6,F2RL1,NA,1,1/374,0.0212031977277593,1
ether lipid metabolic process (GO:0046485),PLA2G16/TMEM86A/TMEM86B/AGPS/GNPAT/PEX7/DHRS7B/FAR1/AGMO,AGPS,NA,1,1/374,0.0212031977277593,1
positive regulation of chromatin silencing (GO:0031937),SETDB1/SIN3A/MIER1/SIRT6/TRIM28/ZNF304/SIRT1/DNMT1,DNMT1,NA,1,1/374,0.0167747462928842,1
regulation of blood vessel size (GO:0050880),ACE/NANOS1/NPR1/NOS3/ADCY6/ACE2/GCLC/ITGB1BP1/NPPB/AGTR1/UTS2/GCLM,ACE2,NA,1,1/374,0.0369440363050621,1
cellular response to insulin stimulus (GO:0032869),PTPN2/ATP6V1E1/DENND4C/GCK/CPEB2/RAB31/CPEB1/APC/CAPN10/SELENOS/SLC25A33/PHIP/ATP6V0D1/ZFP36L1/FOXO4/FOXO1/BAIAP2L1/BAIAP2L2/AKT1/AKT2/ATP6V1E2/SH2B2/INSR/GPLD1/ATP6V0C/PRKCI/ATP6V0B/XBP1/ATP6AP1/GOT1/MYO5A/INHBB/IGF2/PIK3R1/VAMP2/GRB2/ATP6V1B1/ATP6V1B2/SYAP1/ATP6V1A/ATP6V1D/IRS1/IRS2/SLC2A4/PRKDC/IRS4/SOGA1/IGF1R/INPP5K/ATP6V0A4/PDK4/ATP6V1F/ATP6V1C1/ATP6V1H/ATP6V0A1/ATP6V1C2/ATP6V0A2/PDK2/CAV2/GAB1/BAIAP2/RHOQ/KAT2B/CEACAM1/FER/PDE3B/BCAR1/SOS1/FOXC2/GSK3A/C2CD5/SHC1/IDE/PCSK9/PIK3R3/PIK3R2/ZNF106/PCK2/PCK1/ADIPOQ/ATP6V1G1/ATP6V1G2/ATP6V0E1/ATP6V1G3/ATP6V0E2/PKLR/PDPK1/PARP1/SORBS1/USF1/PKM/RAB10/TBC1D4/RPS6KB1/RAB13/MARS/PPARG/ATP6V0D2/TRIB3/HDAC5/PLA2G1B/TCIRG1/HDAC9/INS/PIK3C2A/ENPP1/AP3S1/RAB8A/APPL1/RAB8B,SELENOS/AKT1/ATP6AP1/ATP6V1A/PRKDC/IDE/RAB10/RAB8A,NA,8,8/374,0.00216317536037734,1
"RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)",TSEN34/TSEN15/CPSF1/CPSF4/RTCB/DDX1/ZBTB8OS/C2ORF49/TSEN2/ERN1/TSEN54/CLP1/CSTF2/FAM98B,DDX1,NA,1,1/374,0.049248425143498,1
purine nucleotide catabolic process (GO:0006195),GPX1/GDA/NUDT1/DNPH1/NT5C2/PNP/NT5C1A/NT5E/HINT1/NT5C1B/NT5C/ITPA/XDH/NUDT15,GPX1,NA,1,1/374,0.049248425143498,1
regulation of carbohydrate catabolic process (GO:0043470),RANBP2/GCKR/ECD/PGAM1/NUP214/NDC1/NUP153/NUP210/NUP133/NUP155/GCK/NUP93/NUP50/EIF6/NUP98/NUP54/NUP35/NUP58/OGT/NUPL2/NUP37/POM121/NUP205/NUP107/SEH1L/PRKAG2/NUP188/PRKAG1/NUP160/AAAS/TPR/NUP43/POM121C/NUP85/NUP62/NUP88/RAE1,NUP214/NUP210/NUP98/NUP54/NUP58/NUP62/NUP88/RAE1,NA,8,8/374,3.02460816399017e-07,0.00154345754608418
positive regulation of cellular protein localization (GO:1903829),CDT1/DTX3L/B3GAT3/PYHIN1/EIF2AK3/LIF/GNL3/GNL3L/APC/MAPT/RUFY3/GPD1L/CDK1/KIF20B/CENPQ/TENM1/RTN4/PRKN/GSK3B/RIPOR1/PARK7/SNX33/TNF/BICD1/OAZ1/OAZ2/TM9SF4/PARD6A/PDCD10/DDRGK1/AKT1/CEP250/TRAPPC12/STX4/RAB29/CEP290/STX3/PCNT/BCAS3/GTSE1/NGFR/CARD10/PLK1/MBD1/PLK3/CEP131/F2/PARP9/NDC80/CCDC88A/SYT11/VAMP2/RANGRF/NECAB2/HSP90AB1/NUMA1/ICE1/CROCC/PRR5L/INS/TPR/SESN2/NUP62/FYN/KAT7/CDK5RAP3,CDK1/RTN4/AKT1/CEP250/PCNT/NUP62,NA,6,6/374,0.00151523090060853,1
stress fiber assembly (GO:0043149),RHOA/SRC/ARRB1/ITGB5/CUL3/SORBS1/ZYX/TNFAIP1/KCTD13/PHACTR1,RHOA,NA,1,1/374,0.026057258962688,1
positive regulation of autophagosome maturation (GO:1901098),UVRAG/FYCO1/CALCOCO2/ADRB2/SMCR8/IRGM,FYCO1,NA,1,1/374,0.00929900216569043,1
UV protection (GO:0009650),GPX1/FEN1/MC1R/SCARA3/CAT/ERCC5/MFAP4/ERCC2/SDF4/XPA,GPX1,NA,1,1/374,0.026057258962688,1
potassium ion import across plasma membrane (GO:1990573),KCNJ5/HCN4/KCNJ8/FXYD2/ATP1A2/ATP1A1/ATP1B1/KCNJ3/HCN2,ATP1B1,NA,1,1/374,0.0212031977277593,1
response to thyroid hormone (GO:0097066),CTSB/LMO2/MBD4/KLF9/HPN/RDX/CTSL/CTSH/GATA1/CTSS/GAS2L1,CTSB/RDX,NA,2,2/374,0.00241029950835454,1
nucleoside triphosphate metabolic process (GO:0009141),AK1/AK4/AK5/AK7/AK8/NME2/ENPP1/ENPP3/CMPK2/ITPA/DCTPP1/SMPDL3A/SUCLG1/CMPK1,DCTPP1,NA,1,1/374,0.049248425143498,1
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191),GNG2/GNAL/GNB1/GNAS/DRD1/DRD3/DRD5,GNB1,NA,1,1/374,0.0127977214204242,1
chondroitin sulfate biosynthetic process (GO:0030206),CSGALNACT2/CHST9/CSGALNACT1/CHST7/CHPF2/CHPF/NCAN/BGN/DCN/VCAN/BCAN/CHST12/CHST13/CHSY3/CHSY1/CHST11/CSPG5/CHST15/CSPG4/CHST3,CHPF2/CHPF,NA,2,2/374,0.0140245656522957,1
negative regulation of nitric oxide biosynthetic process (GO:0045019),KHSRP/PTGIS/ZC3H12A/CAV1/ATP2B4/GLA/CD34,GLA,NA,1,1/374,0.0127977214204242,1
peptidyl-diphthamide biosynthetic process from peptidyl-histidine (GO:0017183),DPH1/DPH2/DPH3P1/DPH3/DPH5/DPH6/DPH7/EEF2,DPH5,NA,1,1/374,0.0167747462928842,1
establishment of protein localization to mitochondrial membrane (GO:0090151),TIMM9/HSP90AA1/AGK/TIMM29/NDUFA13/TIMM13/HSPA4/TIMM22/TIMM10/TOMM22/SAMM50/TOMM7,TIMM9/TIMM29/TIMM10,NA,3,3/374,0.000183243463632401,0.935091394916144
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),MAP3K3/CD74/UNC5CL/MUL1/SHISA5/TICAM2/MID2/TICAM1/EDAR/PINK1/CD4/IL23A/C18ORF32/RBCK1/S100A4/ROR1/UBE2N/TRIM13/APP/RELA/PRKN/SLC35B2/NOD1/NOD2/TNF/ATP2C1/RNF31/DDRGK1/TFG/AKT1/FLNA/S100A13/WLS/MAP3K7/S100A12/APOL3/NDFIP1/NDFIP2/F2R/NEK6/PLK2/TIRAP/PRKCB/TNFRSF10B/MYD88/MAVS/TRAF5/CLEC6A/TRAF6/PRKD1/CCDC22/CARD16/TAB2/MAP3K14/TMEM9B/BIRC2/BIRC3/ANKRD17/GOLT1B/BCL10/IFIT5/FASLG/AGER/EDA2R/LPAR1/TMEM101/GJA1/UBC/TBK1/LGALS1/UBB/NUP62/UBD/MIER1/HMOX1/PIM2/TSPAN6/IL12B/TNFSF10/LGALS9/TRIM62/RHOA/CCL21/CARD9/TNFRSF19/SPHK1/CFLAR/IRAK4/TNFRSF1A/RHOC/IL1A/TLR2/IL1B/PPP5C/BST2/GPRC5B/TNIP2/EEF1D/TLR9/REL/TLR7/TLR6/CC2D1A/TLR4/TERF2IP/TLR3/CD40/SLC44A2/TRADD/SECTM1/LITAF/HTR2B/MTDH/INAVA/CASP8/SHARPIN/TRIM8/TRIM5/CASP10/IRAK1/TMED4/FADD/RIPK2/ECT2/CASP1/CCR7/RIPK1/RPS27A/ADIPOQ/BRD4/PLEKHG5/CHUK/ZDHHC13/S100B/ZDHHC17/MIB2/PPM1A/FKBP1A/VAPA/LTBR/F2RL1/PELI2/PELI1/UBE2V1/TRIM38/TRIM32/UBA52/LTF/ECM1/CANT1/GPR89A/TRAF3IP2/SLC20A1/CXXC5/MALT1/AKAP13/IKBKB/TRIM25/CCL19/IKBKG/LURAP1/TRIM22/IKBKE,AKT1/NDFIP2/TRAF6/UBC/TBK1/LGALS1/NUP62/HMOX1/RHOA/SLC44A2/RIPK1/BRD4/F2RL1,NA,13,13/374,8.46298329457886e-05,0.431866037522359
regulation of defense response to virus by virus (GO:0050690),AP1S1/EIF2AK2/AP2B1/AP1B1/PACS1/HCK/LCK/CD4/CD8B/ELMO1/CD28/CD247/DOCK2/ARF1/AP2A2/AP2A1/AP1G1/PAK2/AP1S3/AP2S1/AP1S2/RAC1/FYN/AP1M1/B2M/ATP6V1H/AP1M2/AP2M1,AP2A2/AP2M1,NA,2,2/374,0.0346570747300981,1
signal transduction involved in mitotic G1 DNA damage checkpoint (GO:0072431),CRADD/ARID3A/CNOT11/CNOT10/PML/CDC25C/CNOT6/CNOT7/RBL2/CNOT8/CNOT1/CNOT2/CENPJ/CNOT3/CNOT4/CDK2/RPL26/BAX/CARM1/ATM/CDK1/CNOT9/TP53/PCNA/BTG2/AURKA/MUC1/E2F1/CHEK2/CASP2/E2F4/E2F7/RPS27A/E2F8/GTSE1/PIDD1/CNOT6L/NPM1/GML/PLK3/GADD45A/PLK2/PRMT1/TFDP1/RGCC/TFDP2/MDM4/UBA52/MDM2/CDKN1B/CDKN1A/TRIAP1/PRKDC/SOX4/CCNB1/UBC/PCBP4/UBB/EP300/PLAGL1/SFN/TNKS1BP1/ZNF385A,CDK2/CDK1/AURKA/PRKDC/UBC,NA,5,5/374,0.00558642507384452,1
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439),UBE2C/PSMB9/CDC20/PSMC6/PSMC4/PSMC5/BUB1B/PSMC2/CDC16/PSMC3/CDK2/CDK1/PSMC1/MAD2L1/PSMD11/PSMD10/PSMD13/PSMD12/PSMD14/UBE2D1/PSMB10/FBXO43/PSMD9/PSMD7/CDC23/FZR1/PSMD8/PSMD5/CDC26/PSMD6/PSMD3/CDC27/PSMD4/PSMD1/PSMD2/RPS27A/PLK1/UBE2E1/PSMA6/PSMA7/PSMA4/PSMA5/PSMA2/PSMA3/PSMA1/ANAPC4/PSME2/ANAPC5/PSME3/ANAPC7/PSME1/UBA52/ANAPC1/ANAPC2/ANAPC15/ANAPC16/ANAPC10/ANAPC11/PSMB7/PSMB8/PSMB5/PSMB6/CCNB1/UBC/PSMB3/PSMB4/UBB/PSMB1/PSMB2/FBXO5/PSMF1/BUB3,CDK2/CDK1/PSMD8/UBC,NA,4,4/374,0.0381742216385452,1
purine nucleoside bisphosphate biosynthetic process (GO:0034033),PANK2/DCAKD/ACAT1/PPCS/ACOT7/PPCDC/COASY,DCAKD,NA,1,1/374,0.0127977214204242,1
mitotic G1/S transition checkpoint (GO:0044819),TP73/CCND1/RFWD3/PLK3/RPA2/CDK2/RPS27L/FBXO31/TP53/TP63,CDK2,NA,1,1/374,0.026057258962688,1
positive regulation of exosomal secretion (GO:1903543),TSG101/VPS4A/ATP13A2/VPS4B/SDC4/STAM/SNF8/PDCD6IP/SDCBP/SMPD3/HGS/IFNG/SDC1/CHMP2A/RAB7A,CHMP2A/RAB7A,NA,2,2/374,0.00615644152085002,1
metaphase plate congression (GO:0051310),KIF22/BOD1/SPICE1/RAB11A/GEM/NDC80/CENPE/CENPF/KIF18A/ZW10/KPNB1/PSRC1/KIF2B/KIFC1/CHMP2B/CHMP4C/CHMP2A/CHMP4B/KIF2C/CHMP4A/CHMP7/CENPQ/CHMP5/CHMP6/BECN1/SEH1L/VPS4A/PINX1/CDCA5/VPS4B/CUL3/CDCA8/KIF14/CDC23/CCNB1/NUP62/CHMP1B/CHMP1A/TRAPPC12/PIBF1/RRS1/ANKRD53/SPDL1/FAM83D,CENPF/CHMP2A/NUP62,NA,3,3/374,0.0263167905582458,1
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176),PRKN/NOL3/NONO/HTRA2/PARK7/NME5/SIRT1/HIF1A/INS/HSPB1/SOD2/VNN1/BAG5/PINK1/HSP90B2P/AKT1/MAPK7/NFE2L2,BAG5/AKT1,NA,2,2/374,0.0104273578547051,1
morphogenesis of an endothelium (GO:0003159),ACVRL1/CTNNB1/CSNK2B/PRKD2/CCM2/RHOB,CSNK2B,NA,1,1/374,0.00929900216569043,1
negative regulation of axonogenesis (GO:0050771),NGFR/CDKL3/RHOA/RTN4/PTPRS/DCC/RTN4R/MCF2/GDI1/OMG/PTEN/LRP4/MT3/SEMA3G/THY1/RNF6/LINGO1/EFNB3/ARHGDIA/ERCC2/RUFY3/FGF13/EPHA4,RHOA/RTN4,NA,2,2/374,0.0205844719498634,1
positive regulation of viral entry into host cell (GO:0046598),CD74/CD4/LGALS1/P4HB/TMPRSS2/TRIM38/LGALS9/TRIM11,LGALS1/TMPRSS2,NA,2,2/374,0.000866646803044136,1
